step,reward,cumulative_reward,instantaneous_regret,cumulative_regret,moving_average_reward
0,0.548342,0.548342,0.452705,0.452705,0.548342
1,0.475228,1.0235699999999999,0.525819,0.9785240000000001,0.5117849999999999
2,0.840626,1.8641959999999997,0.16042100000000004,1.138945,0.6213986666666665
3,0.389328,2.2535239999999996,0.611719,1.750664,0.5633809999999999
4,0.274757,2.528281,0.7262900000000001,2.476954,0.5056562
5,0.225115,2.753396,0.7759320000000001,3.252886,0.4588993333333333
6,0.959319,3.712715,0.04172799999999999,3.294614,0.5303878571428572
7,1.001047,4.713762,0.0,3.294614,0.58922025
8,0.344344,5.058106,0.656703,3.9513170000000004,0.5620117777777778
9,0.681905,5.740011000000001,0.31914200000000004,4.270459000000001,0.5740011
10,0.589563,6.329574000000001,0.41148400000000007,4.681943,0.5781232
11,0.723947,7.053521000000001,0.2771,4.959043,0.6029951
12,0.880509,7.934030000000001,0.12053800000000003,5.079581,0.6069834000000001
13,0.945478,8.879508000000001,0.05556899999999998,5.13515,0.6625984
14,0.627457,9.506965000000001,0.37359,5.50874,0.6978683999999999
15,-0.022587,9.484378000000001,1.023634,6.532374000000001,0.6730982000000001
16,0.643724,10.128102000000002,0.35732300000000006,6.889697000000001,0.6415387
17,0.841778,10.969880000000002,0.159269,7.048966000000001,0.6256117999999999
18,0.769845,11.739725000000002,0.23120200000000002,7.280168000000001,0.6681619
19,0.404923,12.144648000000002,0.5961240000000001,7.876292000000001,0.6404637
20,0.837644,12.982292000000001,0.16340299999999996,8.039695000000002,0.6652718
21,0.950424,13.932716000000001,0.050622999999999974,8.090318000000002,0.6879195
22,0.894769,14.827485000000001,0.10627799999999998,8.196596000000001,0.6893455
23,0.446883,15.274368,0.5541640000000001,8.750760000000001,0.639486
24,0.800669,16.075037000000002,0.20037800000000006,8.951138000000002,0.6568072
25,0.996943,17.071980000000003,0.0041039999999999965,8.955242000000002,0.7587602
26,0.200696,17.272676000000004,0.800351,9.755593000000001,0.7144573999999999
27,0.703242,17.975918000000004,0.297805,10.053398000000001,0.7006038
28,0.746762,18.722680000000004,0.254285,10.307683,0.6982955000000001
29,0.848424,19.571104000000005,0.15262300000000006,10.460306000000001,0.7426456000000001
30,0.37961,19.950714000000005,0.621437,11.081743000000001,0.6968422000000001
31,0.841785,20.792499000000007,0.15926200000000001,11.241005000000001,0.6859783
32,0.861197,21.653696000000007,0.13985000000000003,11.380855,0.6826211
33,0.583499,22.237195000000007,0.41754800000000003,11.798403,0.6962827
34,0.696974,22.934169000000008,0.30407300000000004,12.102476000000001,0.6859132
35,0.673793,23.607962000000008,0.32725400000000004,12.429730000000001,0.6535982
36,0.647472,24.255434000000008,0.353575,12.783305,0.6982757999999999
37,0.392544,24.64797800000001,0.608503,13.391808000000001,0.667206
38,0.982979,25.63095700000001,0.018067999999999973,13.409876,0.6908276999999999
39,0.702274,26.33323100000001,0.29877300000000007,13.708649000000001,0.6762127
40,0.628758,26.96198900000001,0.372289,14.080938000000002,0.7011275
41,0.765992,27.72798100000001,0.23505500000000001,14.315993000000002,0.6935482000000001
42,0.94883,28.67681100000001,0.05221700000000007,14.368210000000003,0.7023115000000001
43,0.956936,29.63374700000001,0.04411100000000001,14.412321000000002,0.7396552
44,0.668131,30.30187800000001,0.332916,14.745237000000003,0.7367709
45,0.675421,30.97729900000001,0.32562599999999997,15.070863000000003,0.7369337
46,0.722138,31.69943700000001,0.2789090000000001,15.349772000000003,0.7444002999999999
47,0.449283,32.14872000000001,0.551764,15.901536000000004,0.7500742
48,0.941709,33.090429000000015,0.059338,15.960874000000004,0.7459472
49,0.781986,33.87241500000002,0.21906100000000006,16.179935000000004,0.7539184000000001
50,0.559692,34.432107000000016,0.44135500000000005,16.621290000000005,0.7470118
51,0.640666,35.07277300000002,0.36038100000000006,16.981671000000006,0.7344792
52,0.717519,35.79029200000002,0.283528,17.265199000000006,0.7113480999999999
53,0.916215,36.70650700000002,0.08483200000000002,17.350031000000005,0.707276
54,0.775543,37.48205000000002,0.22550400000000004,17.575535000000006,0.7180172
55,0.653184,38.135234000000025,0.34786300000000003,17.923398000000006,0.7157935
56,0.509297,38.64453100000002,0.49175,18.415148000000006,0.6945094
57,0.654021,39.29855200000002,0.34702600000000006,18.762174000000005,0.7149832
58,0.56023,39.85878200000002,0.440817,19.202991000000004,0.6768353
59,0.592379,40.45116100000002,0.40866800000000003,19.611659000000003,0.6578746000000001
60,0.116511,40.56767200000002,0.884536,20.496195000000004,0.6135565
61,0.8856,41.45327200000002,0.11544699999999997,20.611642000000003,0.6380499000000001
62,0.108648,41.56192000000002,0.892399,21.504041000000004,0.5771628
63,0.474244,42.03616400000002,0.526803,22.030844000000005,0.5329656999999999
64,0.154124,42.190288000000024,0.846923,22.877767000000006,0.47082379999999996
65,0.851276,43.04156400000002,0.149771,23.027538000000007,0.49063300000000004
66,0.320837,43.36240100000002,0.68021,23.707748000000006,0.47178700000000007
67,0.624599,43.98700000000002,0.376448,24.084196000000006,0.4688448
68,0.907255,44.89425500000002,0.09379199999999999,24.177988000000006,0.5035473
69,0.762123,45.656378000000025,0.23892400000000003,24.416912000000007,0.5205217
70,0.410467,46.06684500000002,0.59058,25.007492000000006,0.5499172999999999
71,0.413681,46.48052600000002,0.587366,25.594858000000006,0.5027254
72,0.558334,47.03886000000002,0.442713,26.037571000000007,0.5476940000000001
73,0.910972,47.94983200000002,0.09007500000000002,26.127646000000006,0.5913668000000001
