step,reward,cumulative_reward,instantaneous_regret,cumulative_regret,moving_average_reward
0,1.049519,1.049519,0.001371000000000011,0.001371000000000011,1.049519
1,1.01871,2.068229,0.0321800000000001,0.03355100000000011,1.0341145
2,0.841376,2.909605,0.2095140000000001,0.2430650000000002,0.9698683333333333
3,0.955028,3.864633,0.09586200000000011,0.3389270000000003,0.96615825
4,0.881046,4.745679,0.1698440000000001,0.5087710000000004,0.9491358
5,0.450279,5.195958,0.6006110000000001,1.1093820000000005,0.865993
6,0.945307,6.141265,0.1055830000000001,1.2149650000000007,0.8773235714285714
7,0.745254,6.886519,0.30563600000000013,1.520601000000001,0.860814875
8,0.971795,7.858314,0.07909500000000014,1.5996960000000011,0.873146
9,0.661723,8.520037,0.38916700000000015,1.9888630000000012,0.8520037
10,0.601641,9.121678000000001,0.4492490000000001,2.438112000000001,0.8072159000000001
11,0.975121,10.096799,0.07576900000000009,2.5138810000000014,0.802857
12,0.914697,11.011496000000001,0.13619300000000012,2.6500740000000014,0.8101891
13,0.733213,11.744709,0.3176770000000001,2.9677510000000016,0.7880076
14,0.813013,12.557722,0.23787700000000012,3.2056280000000017,0.7812043
15,0.767333,13.325055,0.28355700000000006,3.4891850000000018,0.8129097
16,0.811118,14.136173000000001,0.2397720000000001,3.728957000000002,0.7994907999999998
17,0.778637,14.914810000000001,0.2722530000000001,4.001210000000002,0.8028291
18,0.716001,15.630811000000001,0.3348890000000001,4.336099000000003,0.7772496999999999
19,0.867915,16.498726,0.1829750000000001,4.5190740000000025,0.7978688999999999
20,0.53773,17.036456,0.5131600000000001,5.0322340000000025,0.7914778
21,0.935152,17.971608,0.11573800000000012,5.147972000000003,0.7874809
22,0.829519,18.801127,0.2213710000000001,5.369343000000003,0.7789631000000001
23,0.721567,19.522694,0.32932300000000014,5.698666000000004,0.7777985000000001
24,0.772273,20.294967,0.2786170000000001,5.9772830000000035,0.7737245
25,0.982214,21.277181,0.06867600000000007,6.045959000000003,0.7952126000000002
26,0.737719,22.014899999999997,0.3131710000000001,6.359130000000004,0.7878727000000001
27,0.86257,22.87747,0.18832000000000015,6.547450000000004,0.796266
28,0.93469,23.81216,0.11620000000000008,6.663650000000004,0.8181349000000001
29,0.874123,24.686283,0.17676700000000012,6.840417000000004,0.8187557
30,0.242258,24.928541,0.8086320000000001,7.649049000000004,0.7892084999999999
31,0.883048,25.811588999999998,0.16784200000000005,7.8168910000000045,0.7839981
32,0.93451,26.746098999999997,0.11638000000000015,7.933271000000005,0.7944971999999998
33,0.843935,27.590033999999996,0.2069550000000001,8.140226000000006,0.806734
34,0.84083,28.430863999999996,0.21006000000000014,8.350286000000006,0.8135897
35,0.184976,28.615839999999995,0.8659140000000001,9.216200000000006,0.7338659000000001
36,1.001708,29.617547999999996,0.04918200000000006,9.265382000000006,0.7602648000000001
37,0.723867,30.341414999999994,0.32702300000000006,9.592405000000007,0.7463944999999998
38,1.05089,31.392304999999993,0.0,9.592405000000007,0.7580145
39,0.784043,32.17634799999999,0.26684700000000006,9.859252000000007,0.7490064999999999
40,0.911929,33.08827699999999,0.1389610000000001,9.998213000000007,0.8159736000000001
41,0.846477,33.93475399999999,0.20441300000000007,10.202626000000008,0.8123164999999999
